Dia;Distancia (km);Pasos;Calorías
15-mar;53,9;2295;83,9
16-mar;64,7;2540;91,3
17-mar;49,73;3627;126,9
18-mar;64,26;4884;178,6
19-mar;41,39;1149;47,2
20-mar;10,3;1549;59,5
21-mar;66,57;4880;181,4
22-mar;58,4;5131;189,8
23-mar;63,18;9582;349,8
24-mar;2,42;732;26,4
25-mar;60,04;8758;320,9
26-mar;1,38;1862;71,8
27-mar;2,9;2698;103,8
28-mar;65,3;9108;338,7
29-mar;66,28;6795;249,8
30-mar;2,09;2257;84,4
31-mar;56,85;6298;231,3
1-abr;42,56;6860;252,7
2-abr;10,42;5298;195,2
3-abr;15,02;3875;148
4-abr;2,23;2281;85,6
5-abr;61,8;9063;329,8
6-abr;58,87;4974;179,8
7-abr;58,75;6431;234,6
8-abr;56,47;6681;245,5
9-abr;2,94;3977;150
10-abr;5;1986;74,4
11-abr;72,75;4968;183,5
